,Code,Title
3,1A00,Cholera
4,1A01,Intestinal infection due to other Vibrio
5,1A02,Intestinal infections due to Shigella
6,1A03,Intestinal infections due to Escherichia coli
7,1A03.0,Enteropathogenic Escherichia coli infection
8,1A03.1,Enterotoxigenic Escherichia coli infection
9,1A03.2,Enteroinvasive Escherichia coli infection
10,1A03.3,Enterohaemorrhagic Escherichia coli infection
11,1A03.Y,Intestinal infections due to other specified Escherichia coli
12,1A03.Z,"Intestinal infections due to Escherichia coli, unspecified"
13,1A04,Intestinal infections due to Clostridioides difficile
14,1A05,Intestinal infections due to Yersinia enterocolitica
15,1A06,Gastroenteritis due to Campylobacter
16,1A07,Typhoid fever
17,1A07.0,Typhoid peritonitis
18,1A07.Y,Other specified typhoid fever
19,1A07.Z,"Typhoid fever, unspecified"
20,1A08,Paratyphoid fever
21,1A09,Infections due to other Salmonella
22,1A09.0,Salmonella enteritis
23,1A09.Y,Infections due to other Salmonella in other organs
24,1A09.Z,"Salmonella infection, unspecified"
25,1A0Y,Other specified bacterial intestinal infections
26,1A0Z,"Bacterial intestinal infections, unspecified"
28,1A10,Foodborne staphylococcal intoxication
29,1A11,Botulism
30,1A11.0,Foodborne intoxication by botulinum toxin
31,1A11.1,Other forms of botulism
32,1A11.Z,"Botulism, unspecified"
33,1A12,Foodborne Clostridium perfringens intoxication
34,1A13,Foodborne Bacillus cereus intoxication
35,1A1Y,Other specified bacterial foodborne intoxications
36,1A1Z,"Bacterial foodborne intoxications, unspecified"
38,1A20,Enteritis due to Adenovirus
39,1A21,Gastroenteritis due to Astrovirus
40,1A22,Gastroenteritis due to Rotavirus
41,1A23,Enteritis due to Norovirus
42,1A24,Intestinal infections due to Cytomegalovirus
43,1A2Y,Other specified viral intestinal infections
44,1A2Z,"Viral intestinal infections, unspecified"
46,1A30,Infections due to Balantidium coli
47,1A31,Giardiasis
48,1A32,Cryptosporidiosis
49,1A33,Cystoisosporiasis
50,1A33.0,Cystoisosporiasis of small intestine
51,1A33.1,Cystoisosporiasis of colon
52,1A33.Y,Other specified cystoisosporiasis
53,1A33.Z,"Cystoisosporiasis, unspecified"
54,1A34,Sarcocystosis
55,1A35,Blastocystosis
56,1A36,Amoebiasis
57,1A36.0,Intestinal infections due to Entamoeba
58,1A36.00,Acute amoebiasis
59,1A36.01,Amoeboma of intestine
60,1A36.0Y,Other specified intestinal infections due to Entamoeba
61,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified"
62,1A36.1,Extraintestinal infections due to Entamoeba
63,1A36.10,Amoebic liver abscess
64,1A36.11,Amoebic lung abscess
65,1A36.12,Cutaneous amoebiasis
66,1A36.1Y,Amoebiasis of other specified sites
67,1A36.Z,"Amoebiasis, unspecified"
68,1A3Y,Other specified protozoal intestinal infections
69,1A3Z,"Protozoal intestinal infections, unspecified"
70,1A40,Gastroenteritis or colitis without specification of infectious agent
71,1A40.0,Gastroenteritis or colitis without specification of origin
72,1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent
75,1A60,Congenital syphilis
76,1A60.0,"Early congenital syphilis, symptomatic"
77,1A60.1,"Early congenital syphilis, latent"
78,1A60.2,Late congenital syphilitic oculopathy
79,1A60.3,Late congenital neurosyphilis
80,1A60.4,"Other late congenital syphilis, symptomatic"
81,1A60.5,"Late congenital syphilis, latent"
82,1A60.Z,"Congenital syphilis, unspecified"
83,1A61,Early syphilis
84,1A61.0,Primary genital syphilis
85,1A61.1,Primary anal syphilis
86,1A61.2,Primary syphilis of other sites
87,1A61.3,Secondary syphilis of skin or mucous membranes
88,1A61.4,Secondary syphilis of other sites
89,1A61.5,Latent early syphilis
90,1A61.Y,Other specified early syphilis
91,1A61.Z,"Early syphilis, unspecified"
92,1A62,Late syphilis
93,1A62.0,Neurosyphilis
94,1A62.00,Asymptomatic neurosyphilis
95,1A62.01,Symptomatic late neurosyphilis
96,1A62.0Z,"Neurosyphilis, unspecified"
97,1A62.1,Cardiovascular late syphilis
98,1A62.2,Symptomatic late syphilis of other sites
99,1A62.20,Ocular late syphilis
100,1A62.21,Late syphilis involving the musculoskeletal system
101,1A62.22,Late syphilis of skin or mucous membranes
102,1A62.2Y,Symptomatic late syphilis of other specified sites
103,1A62.2Z,Symptomatic late syphilis of unspecified site
104,1A62.Y,Other specified late syphilis
105,1A62.Z,"Late syphilis, unspecified"
106,1A63,"Latent syphilis, unspecified as early or late"
107,1A6Z,"Syphilis, unspecified"
109,1A70,Gonococcal genitourinary infection
