index,Gene symbol,HGNC ID,UniProt
1,A1BG,HGNC:5,P04217
2,A1CF,HGNC:24086,Q9NQ94
3,A2M,HGNC:7,P01023
4,A2ML1,HGNC:23336,A8K2U0
5,A3GALT2,HGNC:30005,U3KPV4
6,A4GALT,HGNC:18149,Q9NPC4
7,A4GNT,HGNC:17968,Q9UNA3
8,AAAS,HGNC:13666,Q9NRG9
9,AACS,HGNC:21298,Q86V21
10,AADAC,HGNC:17,P22760
11,AADACL2,HGNC:24427,Q6P093
12,AADACL3,HGNC:32037,Q5VUY0
13,AADACL4,HGNC:32038,Q5VUY2
14,AADAT,HGNC:17929,Q8N5Z0
15,AAGAB,HGNC:25662,Q6PD74
16,AAK1,HGNC:19679,Q2M2I8
17,AAMDC,HGNC:30205,Q9H7C9
18,AAMP,HGNC:18,Q13685
19,AANAT,HGNC:19,Q16613
20,AAR2,HGNC:15886,Q9Y312
21,AARD,HGNC:33842,Q4LEZ3
22,AARS1,HGNC:20,P49588
23,AARS2,HGNC:21022,Q5JTZ9
24,AARSD1,HGNC:28417,Q9BTE6
25,AASDH,HGNC:23993,Q4L235
26,AASDHPPT,HGNC:14235,Q9NRN7
27,AASS,HGNC:17366,Q9UDR5
28,AATF,HGNC:19235,Q9NY61
29,AATK,HGNC:21,Q6ZMQ8
30,ABAT,HGNC:23,P80404
31,ABCA1,HGNC:29,O95477
32,ABCA2,HGNC:32,Q9BZC7
33,ABCA3,HGNC:33,Q99758
34,ABCA4,HGNC:34,P78363
35,ABCA5,HGNC:35,Q8WWZ7
36,ABCA6,HGNC:36,Q8N139
37,ABCA7,HGNC:37,Q8IZY2
38,ABCA8,HGNC:38,O94911
39,ABCA9,HGNC:39,Q8IUA7
40,ABCA10,HGNC:30,Q8WWZ4
41,ABCA12,HGNC:14637,Q86UK0
42,ABCA13,HGNC:14638,Q86UQ4
43,ABCB1,HGNC:40,P08183
44,ABCB4,HGNC:45,P21439
45,ABCB5,HGNC:46,Q2M3G0
46,ABCB6,HGNC:47,Q9NP58
47,ABCB7,HGNC:48,O75027
48,ABCB8,HGNC:49,Q9NUT2
49,ABCB9,HGNC:50,Q9NP78
50,ABCB10,HGNC:41,Q9NRK6
51,ABCB11,HGNC:42,O95342
52,ABCC1,HGNC:51,P33527
53,ABCC2,HGNC:53,Q92887
54,ABCC3,HGNC:54,O15438
55,ABCC4,HGNC:55,O15439
56,ABCC5,HGNC:56,O15440
57,ABCC6,HGNC:57,O95255
58,ABCC8,HGNC:59,Q09428
59,ABCC9,HGNC:60,O60706
60,ABCC10,HGNC:52,Q5T3U5
61,ABCC11,HGNC:14639,Q96J66
62,ABCC12,HGNC:14640,Q96J65
63,ABCD1,HGNC:61,P33897
64,ABCD2,HGNC:66,Q9UBJ2
65,ABCD3,HGNC:67,P28288
66,ABCD4,HGNC:68,O14678
67,ABCE1,HGNC:69,P61221
68,ABCF1,HGNC:70,Q8NE71
69,ABCF2,HGNC:71,Q9UG63
70,ABCF3,HGNC:72,Q9NUQ8
71,ABCG1,HGNC:73,P45844
72,ABCG2,HGNC:74,Q9UNQ0
73,ABCG4,HGNC:13884,Q9H172
74,ABCG5,HGNC:13886,Q9H222
75,ABCG8,HGNC:13887,Q9H221
76,ABHD1,HGNC:17553,Q96SE0
77,ABHD2,HGNC:18717,P08910
78,ABHD3,HGNC:18718,Q8WU67
79,ABHD4,HGNC:20154,Q8TB40
80,ABHD5,HGNC:21396,Q8WTS1
81,ABHD6,HGNC:21398,Q9BV23
82,ABHD8,HGNC:23759,Q96I13
83,ABHD10,HGNC:25656,Q9NUJ1
84,ABHD11,HGNC:16407,Q8NFV4
85,ABHD12,HGNC:15868,Q8N2K0
86,ABHD12B,HGNC:19837,Q7Z5M8
87,ABHD13,HGNC:20293,Q7L211
88,ABHD14A,HGNC:24538,Q9BUJ0
89,ABHD14B,HGNC:28235,Q96IU4
90,ABHD15,HGNC:26971,Q6UXT9
91,ABHD16A,HGNC:13921,O95870
92,ABHD16B,HGNC:16128,Q9H3Z7
93,ABHD17A,HGNC:28756,Q96GS6
94,ABHD17B,HGNC:24278,Q5VST6
95,ABHD17C,HGNC:26925,Q6PCB6
96,ABHD18,HGNC:26111,Q0P651
97,ABI1,HGNC:11320,Q8IZP0
98,ABI2,HGNC:24011,Q9NYB9
99,ABI3,HGNC:29859,Q9P2A4
100,ABI3BP,HGNC:17265,Q7Z7G0
101,ABITRAM,HGNC:1364,Q9NX38
102,ABL1,HGNC:76,P00519
103,ABL2,HGNC:77,P42684
104,ABLIM1,HGNC:78,O14639
105,ABLIM2,HGNC:19195,Q6H8Q1
106,ABLIM3,HGNC:29132,O94929
107,ABO,HGNC:79,P16442
108,ABR,HGNC:81,Q12979
109,ABRA,HGNC:30655,Q8N0Z2
110,ABRACL,HGNC:21230,Q9P1F3
111,ABRAXAS1,HGNC:25829,Q6UWZ7
112,ABRAXAS2,HGNC:28975,Q15018
113,ABT1,HGNC:17369,Q9ULW3
114,ABTB1,HGNC:18275,Q969K4
115,ABTB2,HGNC:23842,Q8N961
116,ABTB3,HGNC:23844,A6QL63
117,ACAA1,HGNC:82,P09110
118,ACAA2,HGNC:83,P42765
119,ACACA,HGNC:84,Q13085
120,ACACB,HGNC:85,O00763
121,ACAD8,HGNC:87,Q9UKU7
122,ACAD9,HGNC:21497,Q9H845
123,ACAD10,HGNC:21597,Q6JQN1
124,ACAD11,HGNC:30211,Q709F0
125,ACADL,HGNC:88,P28330
126,ACADM,HGNC:89,P11310
127,ACADS,HGNC:90,P16219
128,ACADSB,HGNC:91,P45954
129,ACADVL,HGNC:92,P49748
130,ACAN,HGNC:319,P16112
131,ACAP1,HGNC:16467,Q15027
132,ACAP2,HGNC:16469,Q15057
133,ACAP3,HGNC:16754,Q96P50
134,ACAT1,HGNC:93,P24752
135,ACAT2,HGNC:94,Q9BWD1
136,ACBD3,HGNC:15453,Q9H3P7
137,ACBD4,HGNC:23337,Q8NC06
138,ACBD5,HGNC:23338,Q5T8D3
139,ACBD6,HGNC:23339,Q9BR61
140,ACBD7,HGNC:17715,Q8N6N7
141,ACCS,HGNC:23989,Q96QU6
142,ACCSL,HGNC:34391,Q4AC99
143,ACD,HGNC:25070,Q96AP0
144,ACE,HGNC:2707,P12821
145,ACE2,HGNC:13557,Q9BYF1
146,ACER1,HGNC:18356,Q8TDN7
147,ACER2,HGNC:23675,Q5QJU3
148,ACER3,HGNC:16066,Q9NUN7
149,ACHE,HGNC:108,P22303
150,ACIN1,HGNC:17066,Q9UKV3
151,ACKR1,HGNC:4035,Q16570
152,ACKR2,HGNC:1565,O00590
153,ACKR3,HGNC:23692,P25106
154,ACKR4,HGNC:1611,Q9NPB9
155,ACLY,HGNC:115,P53396
156,ACMSD,HGNC:19288,Q8TDX5
157,ACO1,HGNC:117,P21399
158,ACO2,HGNC:118,Q99798
159,ACOD1,HGNC:33904,A6NK06
160,ACOT1,HGNC:33128,Q86TX2
161,ACOT2,HGNC:18431,P49753
162,ACOT4,HGNC:19748,Q8N9L9
163,ACOT6,HGNC:33159,Q3I5F7
164,ACOT7,HGNC:24157,O00154
165,ACOT8,HGNC:15919,O14734
166,ACOT9,HGNC:17152,Q9Y305
167,ACOT11,HGNC:18156,Q8WXI4
168,ACOT12,HGNC:24436,Q8WYK0
169,ACOT13,HGNC:20999,Q9NPJ3
170,ACOX1,HGNC:119,Q15067
171,ACOX2,HGNC:120,Q99424
172,ACOX3,HGNC:121,O15254
173,ACOXL,HGNC:25621,Q9NUZ1
174,ACP1,HGNC:122,P24666
175,ACP2,HGNC:123,P11117
176,ACP3,HGNC:125,P15309
177,ACP4,HGNC:14376,Q9BZG2
178,ACP5,HGNC:124,P13686
179,ACP6,HGNC:29609,Q9NPH0
180,ACP7,HGNC:33781,Q6ZNF0
181,ACR,HGNC:126,P10323
182,ACRBP,HGNC:17195,Q8NEB7
183,ACRV1,HGNC:127,P26436
184,ACSBG1,HGNC:29567,Q96GR2
185,ACSBG2,HGNC:24174,Q5FVE4
186,ACSF2,HGNC:26101,Q96CM8
187,ACSF3,HGNC:27288,Q4G176
188,ACSL1,HGNC:3569,P33121
189,ACSL3,HGNC:3570,O95573
190,ACSL4,HGNC:3571,O60488
191,ACSL5,HGNC:16526,Q9ULC5
192,ACSL6,HGNC:16496,Q9UKU0
193,ACSM1,HGNC:18049,Q08AH1
194,ACSM2A,HGNC:32017,Q08AH3
195,ACSM2B,HGNC:30931,Q68CK6
196,ACSM3,HGNC:10522,Q53FZ2
197,ACSM4,HGNC:32016,P0C7M7
198,ACSM5,HGNC:26060,Q6NUN0
199,ACSM6,HGNC:31665,Q6P461
200,ACSS1,HGNC:16091,Q9NUB1
201,ACSS2,HGNC:15814,Q9NR19
202,ACSS3,HGNC:24723,Q9H6R3
203,ACTA1,HGNC:129,P68133
204,ACTA2,HGNC:130,P62736
205,ACTB,HGNC:132,P60709
206,ACTBL2,HGNC:17780,Q562R1
207,ACTC1,HGNC:143,P68032
208,ACTG1,HGNC:144,P63261
209,ACTG2,HGNC:145,P63267
210,ACTL6A,HGNC:24124,O96019
211,ACTL6B,HGNC:160,O94805
212,ACTL7A,HGNC:161,Q9Y615
213,ACTL7B,HGNC:162,Q9Y614
214,ACTL8,HGNC:24018,Q9H568
215,ACTL9,HGNC:28494,Q8TC94
216,ACTL10,HGNC:16127,Q5JWF8
217,ACTMAP,HGNC:24758,Q5BKX5
218,ACTN1,HGNC:163,P12814
219,ACTN2,HGNC:164,P35609
220,ACTN3,HGNC:165,Q08043
221,ACTN4,HGNC:166,O43707
222,ACTR1A,HGNC:167,P61163
223,ACTR1B,HGNC:168,P42025
224,ACTR2,HGNC:169,P61160
225,ACTR3,HGNC:170,P61158
226,ACTR3B,HGNC:17256,Q9P1U1
227,ACTR3C,HGNC:37282,Q9C0K3
228,ACTR5,HGNC:14671,Q9H9F9
229,ACTR6,HGNC:24025,Q9GZN1
230,ACTR8,HGNC:14672,Q9H981
231,ACTR10,HGNC:17372,Q9NZ32
232,ACTRT1,HGNC:24027,Q8TDG2
233,ACTRT2,HGNC:24026,Q8TDY3
234,ACTRT3,HGNC:24022,Q9BYD9
235,ACVR1,HGNC:171,Q04771
236,ACVR1B,HGNC:172,P36896
237,ACVR1C,HGNC:18123,Q8NER5
238,ACVR2A,HGNC:173,P27037
239,ACVR2B,HGNC:174,Q13705
240,ACVRL1,HGNC:175,P37023
241,ACY1,HGNC:177,Q03154
242,ACY3,HGNC:24104,Q96HD9
243,ACYP1,HGNC:179,P07311
244,ACYP2,HGNC:180,P14621
245,ADA,HGNC:186,P00813
246,ADA2,HGNC:1839,Q9NZK5
247,ADAD1,HGNC:30713,Q96M93
248,ADAD2,HGNC:30714,Q8NCV1
249,ADAL,HGNC:31853,Q6DHV7
250,ADAM2,HGNC:198,Q99965
251,ADAM7,HGNC:214,Q9H2U9
252,ADAM8,HGNC:215,P78325
253,ADAM9,HGNC:216,Q13443
254,ADAM10,HGNC:188,O14672
255,ADAM11,HGNC:189,O75078
256,ADAM12,HGNC:190,O43184
257,ADAM15,HGNC:193,Q13444
258,ADAM17,HGNC:195,P78536
259,ADAM18,HGNC:196,Q9Y3Q7
260,ADAM19,HGNC:197,Q9H013
261,ADAM20,HGNC:199,O43506
262,ADAM21,HGNC:200,Q9UKJ8
263,ADAM22,HGNC:201,Q9P0K1
264,ADAM23,HGNC:202,O75077
265,ADAM28,HGNC:206,Q9UKQ2
266,ADAM29,HGNC:207,Q9UKF5
267,ADAM30,HGNC:208,Q9UKF2
268,ADAM32,HGNC:15479,Q8TC27
269,ADAM33,HGNC:15478,Q9BZ11
270,ADAMDEC1,HGNC:16299,O15204
271,ADAMTS1,HGNC:217,Q9UHI8
272,ADAMTS2,HGNC:218,O95450
273,ADAMTS3,HGNC:219,O15072
274,ADAMTS4,HGNC:220,O75173
275,ADAMTS5,HGNC:221,Q9UNA0
276,ADAMTS6,HGNC:222,Q9UKP5
277,ADAMTS7,HGNC:223,Q9UKP4
278,ADAMTS8,HGNC:224,Q9UP79
279,ADAMTS9,HGNC:13202,Q9P2N4
280,ADAMTS10,HGNC:13201,Q9H324
281,ADAMTS12,HGNC:14605,P58397
282,ADAMTS13,HGNC:1366,Q76LX8
283,ADAMTS14,HGNC:14899,Q8WXS8
284,ADAMTS15,HGNC:16305,Q8TE58
285,ADAMTS16,HGNC:17108,Q8TE57
286,ADAMTS17,HGNC:17109,Q8TE56
287,ADAMTS18,HGNC:17110,Q8TE60
288,ADAMTS19,HGNC:17111,Q8TE59
289,ADAMTS20,HGNC:17178,P59510
290,ADAMTSL1,HGNC:14632,Q8N6G6
291,ADAMTSL2,HGNC:14631,Q86TH1
292,ADAMTSL3,HGNC:14633,P82987
293,ADAMTSL4,HGNC:19706,Q6UY14
294,ADAMTSL5,HGNC:27912,Q6ZMM2
295,ADAP1,HGNC:16486,O75689
296,ADAP2,HGNC:16487,Q9NPF8
297,ADAR,HGNC:225,P55265
298,ADARB1,HGNC:226,P78563
299,ADARB2,HGNC:227,Q9NS39
300,ADAT1,HGNC:228,Q9BUB4
301,ADAT2,HGNC:21172,Q7Z6V5
302,ADAT3,HGNC:25151,Q96EY9
